date,time,fuel_type,mw,fuel_percentage_of_total,is_renewable
10/22/2025,5:00:00 PM,Hydro,219,0.002,TRUE
10/22/2025,5:00:00 PM,Multiple Fuels,1614,0.018,FALSE
10/22/2025,5:00:00 PM,Nuclear,25540,0.292,FALSE
10/22/2025,5:00:00 PM,Oil,399,0.004,FALSE
10/22/2025,5:00:00 PM,Other Renewables,472,0.005,TRUE
10/22/2025,5:00:00 PM,Solar,6597,0.075,TRUE
10/22/2025,5:00:00 PM,Storage,0,0,FALSE
10/22/2025,5:00:00 PM,Wind,8450,0.096,TRUE
10/22/2025,4:00:00 PM,Coal,11417,0.131,FALSE
10/22/2025,4:00:00 PM,Gas,32395,0.371,FALSE
10/22/2025,4:00:00 PM,Hydro,223,0.002,TRUE
10/22/2025,4:00:00 PM,Multiple Fuels,1491,0.017,FALSE
10/22/2025,4:00:00 PM,Nuclear,25541,0.293,FALSE
10/22/2025,4:00:00 PM,Oil,396,0.004,FALSE
10/22/2025,4:00:00 PM,Other Renewables,474,0.005,TRUE
10/22/2025,4:00:00 PM,Solar,6654,0.076,TRUE
10/22/2025,4:00:00 PM,Storage,0,0,FALSE
10/22/2025,4:00:00 PM,Wind,8504,0.097,TRUE
10/22/2025,3:00:00 PM,Coal,11503,0.131,FALSE
10/22/2025,3:00:00 PM,Gas,32909,0.375,FALSE
10/22/2025,3:00:00 PM,Hydro,227,0.002,TRUE
10/22/2025,3:00:00 PM,Multiple Fuels,1262,0.014,FALSE
10/22/2025,3:00:00 PM,Nuclear,25541,0.291,FALSE
10/22/2025,3:00:00 PM,Oil,349,0.004,FALSE
10/22/2025,3:00:00 PM,Other Renewables,473,0.005,TRUE
10/22/2025,3:00:00 PM,Solar,6804,0.077,TRUE
10/22/2025,3:00:00 PM,Storage,4,0,FALSE
10/22/2025,3:00:00 PM,Wind,8648,0.098,TRUE
10/22/2025,2:00:00 PM,Coal,11694,0.134,FALSE
10/22/2025,2:00:00 PM,Gas,31988,0.367,FALSE
10/22/2025,2:00:00 PM,Hydro,277,0.003,TRUE
10/22/2025,2:00:00 PM,Multiple Fuels,1136,0.013,FALSE
10/22/2025,2:00:00 PM,Nuclear,25548,0.293,FALSE
10/22/2025,2:00:00 PM,Oil,354,0.004,FALSE
10/22/2025,2:00:00 PM,Other Renewables,476,0.005,TRUE
10/22/2025,2:00:00 PM,Solar,7241,0.083,TRUE
10/22/2025,2:00:00 PM,Storage,1,0,FALSE
10/22/2025,2:00:00 PM,Wind,8441,0.096,TRUE
10/22/2025,1:00:00 PM,Coal,12378,0.141,FALSE
10/22/2025,1:00:00 PM,Gas,32843,0.374,FALSE
10/22/2025,1:00:00 PM,Hydro,1243,0.014,TRUE
10/22/2025,1:00:00 PM,Multiple Fuels,1258,0.014,FALSE
10/22/2025,1:00:00 PM,Nuclear,25579,0.291,FALSE
10/22/2025,1:00:00 PM,Oil,354,0.004,FALSE
10/22/2025,1:00:00 PM,Other Renewables,479,0.005,TRUE
10/22/2025,1:00:00 PM,Solar,5597,0.063,TRUE
10/22/2025,1:00:00 PM,Storage,0,0,FALSE
10/22/2025,1:00:00 PM,Wind,8072,0.092,TRUE
10/22/2025,12:00:00 PM,Coal,12662,0.144,FALSE
10/22/2025,12:00:00 PM,Gas,34519,0.395,FALSE
10/22/2025,12:00:00 PM,Hydro,2639,0.03,TRUE
10/22/2025,12:00:00 PM,Multiple Fuels,1325,0.015,FALSE
10/22/2025,12:00:00 PM,Nuclear,25582,0.292,FALSE
10/22/2025,12:00:00 PM,Oil,362,0.004,FALSE
10/22/2025,12:00:00 PM,Other Renewables,477,0.005,TRUE
10/22/2025,12:00:00 PM,Solar,1796,0.02,TRUE
10/22/2025,12:00:00 PM,Storage,8,0,FALSE
10/22/2025,12:00:00 PM,Wind,8027,0.091,TRUE
10/22/2025,11:00:00 AM,Coal,12244,0.144,FALSE
10/22/2025,11:00:00 AM,Gas,34174,0.402,FALSE
10/22/2025,11:00:00 AM,Hydro,2960,0.034,TRUE
10/22/2025,11:00:00 AM,Multiple Fuels,1222,0.014,FALSE
10/22/2025,11:00:00 AM,Nuclear,25577,0.301,FALSE
10/22/2025,11:00:00 AM,Oil,275,0.003,FALSE
10/22/2025,11:00:00 AM,Other Renewables,481,0.005,TRUE
10/22/2025,11:00:00 AM,Solar,40,0,TRUE
10/22/2025,11:00:00 AM,Storage,19,0,FALSE
10/22/2025,11:00:00 AM,Wind,7957,0.093,TRUE
10/22/2025,10:00:00 AM,Coal,10896,0.136,FALSE
10/22/2025,10:00:00 AM,Gas,31445,0.394,FALSE
10/22/2025,10:00:00 AM,Hydro,2048,0.025,TRUE
10/22/2025,10:00:00 AM,Multiple Fuels,1103,0.013,FALSE
10/22/2025,10:00:00 AM,Nuclear,25578,0.321,FALSE
10/22/2025,10:00:00 AM,Oil,177,0.002,FALSE
10/22/2025,10:00:00 AM,Other Renewables,474,0.006,TRUE
10/22/2025,10:00:00 AM,Solar,8,0,TRUE
